2024-11-23 11:46:41.669 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findPermissions()
2024-11-23 11:46:41.669 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:46:41.758 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findPermissions()
2024-11-23 11:46:41.759 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:46:42.675 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:46:42.675 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:46:42.767 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findByUserName()
2024-11-23 11:46:42.767 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:46:49.286 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 11:46:49.286 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:44:18.224 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【null】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:44:18.225 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:44:36.243 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.MenuController.findNavTree()
2024-11-23 14:44:36.243 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 14:44:36.254 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findByUserName()
2024-11-23 14:44:36.254 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 14:44:36.318 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.LoginUserController.findPermissions()
2024-11-23 14:44:36.318 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 14:44:48.231 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:44:48.231 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:44:53.014 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 14:44:53.014 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:45:43.851 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:45:43.851 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:45:49.639 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 14:45:49.639 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:47:47.094 botMg [http-nio-8001-exec-1] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:47:47.094 botMg [http-nio-8001-exec-1] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:47:51.611 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 14:47:51.611 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:48:58.432 botMg [http-nio-8001-exec-2] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:48:58.432 botMg [http-nio-8001-exec-2] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:49:04.853 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 14:49:04.853 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:50:30.853 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:50:30.853 botMg [http-nio-8001-exec-6] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:50:35.703 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 14:50:35.703 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:52:38.292 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 14:52:38.292 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 14:52:43.656 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 14:52:43.656 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 14:56:34.148 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
